Ticker,ref.date,price.adjusted,SMB,HML,RF,SP500Index
MSFT,2003/1/1,14.684587,1.33,-0.83,0.1,855.7
MSFT,2003/2/1,14.66602,-0.45,-1.39,0.09,841.15
MSFT,2003/3/1,15.029797,1.02,-1.93,0.1,848.18
MSFT,2003/4/1,15.874095,0.63,1.14,0.1,916.92
MSFT,2003/5/1,15.278115,4.67,0.4,0.09,963.59
MSFT,2003/6/1,15.917542,1.74,0.11,0.1,974.5
MSFT,2003/7/1,16.395573,5.06,-1.24,0.07,990.31
MSFT,2003/8/1,16.463858,2.59,1.53,0.07,1008.01
MSFT,2003/9/1,17.258495,0.8,0.16,0.08,995.97
MSFT,2003/10/1,16.227957,2.7,1.97,0.07,1050.71
MSFT,2003/11/1,16.050549,2.08,1.78,0.07,1058.2
MSFT,2003/12/1,17.086876,-2.68,1.6,0.08,1111.92
MSFT,2004/1/1,17.261675,2.55,2.49,0.07,1131.13
MSFT,2004/2/1,16.562468,-1.58,0.9,0.06,1144.94
MSFT,2004/3/1,15.563596,1.72,0.27,0.09,1126.21
MSFT,2004/4/1,16.312748,-1.68,-3.1,0.08,1107.3
MSFT,2004/5/1,16.375174,-0.2,-0.25,0.06,1120.68
MSFT,2004/6/1,17.829784,2.26,1.18,0.08,1140.84
MSFT,2004/7/1,17.786079,-3.81,3.24,0.1,1101.72
MSFT,2004/8/1,17.043171,-1.48,0.97,0.11,1104.24
MSFT,2004/9/1,17.312597,3.01,0,0.11,1114.58
MSFT,2004/10/1,17.512962,0.15,-0.22,0.11,1130.2
MSFT,2004/11/1,16.78664,3.74,1.41,0.15,1173.82
MSFT,2004/12/1,18.646582,-0.03,-0.22,0.16,1211.92
MSFT,2005/1/1,18.339531,-1.72,2.06,0.16,1181.27
MSFT,2005/2/1,17.557934,-0.57,1.54,0.16,1203.6
MSFT,2005/3/1,16.919104,-1.4,2.04,0.21,1180.59
MSFT,2005/4/1,17.710115,-3.94,0.07,0.21,1156.85
MSFT,2005/5/1,18.060112,2.89,-0.64,0.24,1191.5
MSFT,2005/6/1,17.443262,2.58,2.83,0.23,1191.33
MSFT,2005/7/1,17.98398,2.91,-0.79,0.24,1234.18
MSFT,2005/8/1,19.226927,-0.97,1.32,0.3,1220.33
MSFT,2005/9/1,18.121841,-0.65,0.71,0.29,1228.81
MSFT,2005/10/1,18.10071,-1.25,0.42,0.27,1207.01
MSFT,2005/11/1,19.495235,0.99,-1.16,0.31,1249.48
MSFT,2005/12/1,18.471642,-0.42,0.2,0.32,1248.29
MSFT,2006/1/1,19.884386,5.39,1.08,0.35,1280.08
MSFT,2006/2/1,18.980236,-0.38,-0.34,0.34,1280.66
MSFT,2006/3/1,19.285526,3.44,0.6,0.37,1294.87
MSFT,2006/4/1,17.116699,-1.42,2.34,0.36,1310.61
MSFT,2006/5/1,16.053556,-2.96,2.41,0.43,1270.09
MSFT,2006/6/1,16.578644,-0.39,0.85,0.4,1270.2
MSFT,2006/7/1,17.119406,-3.98,2.6,0.4,1276.66
MSFT,2006/8/1,18.286318,1.03,-2.06,0.42,1303.82
MSFT,2006/9/1,19.532001,-1.36,0.08,0.41,1335.85
MSFT,2006/10/1,20.503246,1.75,-0.31,0.41,1377.94
MSFT,2006/11/1,20.967449,0.7,0.14,0.42,1400.63
MSFT,2006/12/1,21.397429,-1.14,2.73,0.4,1418.3
MSFT,2007/1/1,22.114019,0.13,-0.68,0.44,1438.24
MSFT,2007/2/1,20.18639,1.19,-0.14,0.38,1406.82
MSFT,2007/3/1,20.040659,0.16,-0.97,0.43,1420.86
MSFT,2007/4/1,21.529148,-2.16,-1.45,0.44,1482.37
MSFT,2007/5/1,22.068453,0.24,-0.65,0.41,1530.62
MSFT,2007/6/1,21.259821,0.74,-1.05,0.4,1503.35
MSFT,2007/7/1,20.913551,-2.61,-3.71,0.4,1455.27
MSFT,2007/8/1,20.725981,-0.12,-1.86,0.42,1473.99
MSFT,2007/9/1,21.327105,-2.23,-2.21,0.32,1526.75
MSFT,2007/10/1,26.648026,0.08,-2.98,0.32,1549.38
MSFT,2007/11/1,24.324192,-2.93,-0.94,0.34,1481.14
MSFT,2007/12/1,25.857262,0.13,-0.55,0.27,1468.36
MSFT,2008/1/1,23.678284,-1.03,3.97,0.21,1378.55
MSFT,2008/2/1,19.756115,-0.43,-0.84,0.13,1330.63
MSFT,2008/3/1,20.693275,0.71,0.3,0.17,1322.7
MSFT,2008/4/1,20.795355,-1.72,-0.94,0.18,1385.59
MSFT,2008/5/1,20.649527,2.96,-1.43,0.18,1400.38
MSFT,2008/6/1,20.132759,1.23,-2.71,0.17,1280
MSFT,2008/7/1,18.822773,2.61,5.42,0.15,1267.38
MSFT,2008/8/1,19.971756,3.6,1.59,0.13,1282.83
MSFT,2008/9/1,19.610561,-1.23,5.91,0.15,1166.36
MSFT,2008/10/1,16.40704,-2.6,-2.3,0.08,968.75
MSFT,2008/11/1,14.856705,-2.85,-6.31,0.03,896.24
MSFT,2008/12/1,14.380356,3.46,0.14,0,903.25
MSFT,2009/1/1,12.649392,0.07,-11.29,0,825.88
MSFT,2009/2/1,11.946648,0.05,-6.95,0.01,735.09
MSFT,2009/3/1,13.682019,0.03,3.47,0.02,797.87
MSFT,2009/4/1,15.089695,5.4,5.36,0.01,872.81
MSFT,2009/5/1,15.558922,-2.52,0.28,0,919.14
MSFT,2009/6/1,17.816391,2.63,-2.73,0.01,919.32
MSFT,2009/7/1,17.629005,1.87,4.83,0.01,987.48
MSFT,2009/8/1,18.475977,-1.08,7.63,0.01,1020.62
MSFT,2009/9/1,19.386372,2.43,1.05,0.01,1057.08
MSFT,2009/10/1,20.901403,-4.35,-4.21,0,1036.19
MSFT,2009/11/1,22.167707,-2.4,-0.34,0,1095.63
MSFT,2009/12/1,23.075764,6.05,-0.17,0.01,1115.1
MSFT,2010/1/1,21.334482,0.4,0.43,0,1073.87
MSFT,2010/2/1,21.70545,1.19,3.23,0,1104.49
MSFT,2010/3/1,22.278538,1.48,2.21,0.01,1169.43
MSFT,2010/4/1,23.229307,4.87,2.89,0.01,1186.69
MSFT,2010/5/1,19.623968,0.09,-2.44,0.01,1089.41
MSFT,2010/6/1,17.580814,-1.82,-4.7,0.01,1030.71
MSFT,2010/7/1,19.720163,0.2,-0.31,0.01,1101.6
MSFT,2010/8/1,17.932283,-3,-1.9,0.01,1049.33
MSFT,2010/9/1,18.81143,3.96,-3.16,0.01,1141.2
MSFT,2010/10/1,20.485945,1.14,-2.43,0.01,1183.26
MSFT,2010/11/1,19.402885,3.77,-0.96,0.01,1180.55
MSFT,2010/12/1,21.570148,0.73,3.7,0.01,1257.64
MSFT,2011/1/1,21.431036,-2.5,0.83,0.01,1286.12
MSFT,2011/2/1,20.542261,1.53,1.27,0.01,1327.22
